school,state,leaid,year,enrollment,freelunch,hispanic,black,asian,white,teachers,studteachratio,district,charter,title1
ANOTHER COURSE TO COLLEGE,Massachusetts,2502790,2013,231,188,86,107,16,18,15.49,14.91,boston,No,Yes
ANOTHER COURSE TO COLLEGE,Massachusetts,2502790,2014,236,168,86,109,15,19,23.06,10.23,boston,No,Yes
ANOTHER COURSE TO COLLEGE,Massachusetts,2502790,2015,237,0,93,95,20,20,20.35,11.65,boston,No,Yes
ANOTHER COURSE TO COLLEGE,Massachusetts,2502790,2016,223,0,89,96,13,16,20.11,11.09,boston,No,Yes
ANOTHER COURSE TO COLLEGE,Massachusetts,2502790,2017,224,0,90,101,9,18,22.11,10.13,boston,No,Yes
BALDWIN EARLY LEARNING CENTER,Massachusetts,2502790,2013,160,75,41,28,23,58,12.23,13.08,boston,No,Yes
BALDWIN EARLY LEARNING CENTER,Massachusetts,2502790,2014,151,77,50,24,26,42,12.99,11.62,boston,No,Yes
BALDWIN EARLY LEARNING CENTER,Massachusetts,2502790,2015,142,0,48,16,33,38,11.22,12.66,boston,No,Yes
BALDWIN EARLY LEARNING CENTER,Massachusetts,2502790,2016,159,0,51,24,41,36,11,14.45,boston,No,Yes
BALDWIN EARLY LEARNING CENTER,Massachusetts,2502790,2017,173,0,54,16,50,44,14,12.36,boston,No,Yes
BEETHOVEN,Massachusetts,2502790,2013,314,142,110,71,14,105,17.05,18.42,boston,No,Yes
BEETHOVEN,Massachusetts,2502790,2014,317,140,92,82,12,118,23.89,13.27,boston,No,Yes
BEETHOVEN,Massachusetts,2502790,2015,342,0,88,83,14,145,21.57,15.86,boston,No,Yes
BEETHOVEN,Massachusetts,2502790,2016,329,0,96,77,12,135,22.18,14.83,boston,No,Yes
BEETHOVEN,Massachusetts,2502790,2017,324,0,84,90,8,131,22.41,14.46,boston,No,Yes
BLACKSTONE,Massachusetts,2502790,2013,630,545,459,140,8,19,48.03,13.12,boston,No,Yes
BLACKSTONE,Massachusetts,2502790,2014,601,510,439,137,3,15,42.84,14.03,boston,No,Yes
BLACKSTONE,Massachusetts,2502790,2015,595,0,430,134,5,18,40.91,14.54,boston,No,Yes
BLACKSTONE,Massachusetts,2502790,2016,585,0,406,141,9,21,45.37,12.89,boston,No,Yes
BLACKSTONE,Massachusetts,2502790,2017,575,0,384,146,10,20,47.88,12.01,boston,No,Yes
BOSTON ADULT ACADEMY,Massachusetts,2502790,2013,212,157,60,137,9,4,14.62,14.5,boston,No,Yes
BOSTON ADULT ACADEMY,Massachusetts,2502790,2014,191,138,62,105,11,6,19.02,10.04,boston,No,Yes
BOSTON ADULT ACADEMY,Massachusetts,2502790,2015,170,0,51,101,6,5,16.3,10.43,boston,No,Yes
BOSTON ADULT ACADEMY,Massachusetts,2502790,2016,197,0,73,106,4,10,19.08,10.32,boston,No,Yes
BOSTON ADULT ACADEMY,Massachusetts,2502790,2017,154,0,62,79,8,3,21.39,7.2,boston,No,Yes
BOSTON ARTS ACADEMY,Massachusetts,2502790,2013,445,303,178,172,14,69,47.21,9.43,boston,No,Yes
BOSTON ARTS ACADEMY,Massachusetts,2502790,2014,441,261,189,163,13,64,47.43,9.3,boston,No,Yes
BOSTON ARTS ACADEMY,Massachusetts,2502790,2015,437,0,179,161,22,63,32.65,13.38,boston,No,Yes
BOSTON ARTS ACADEMY,Massachusetts,2502790,2016,447,0,176,181,20,56,49.72,8.99,boston,No,Yes
BOSTON ARTS ACADEMY,Massachusetts,2502790,2017,469,0,176,189,19,62,47.81,9.81,boston,No,Yes
BOSTON COLLABORATIVE HIGH SCHOOL,MASSACHUSETTS,2502790,2015,190,0,56,98,2,29,7.59,25.03,boston,No,
BOSTON COLLABORATIVE HIGH SCHOOL,MASSACHUSETTS,2502790,2016,193,0,76,83,2,28,0.94,205.32,boston,No,
BOSTON COLLABORATIVE HIGH SCHOOL,MASSACHUSETTS,2502790,2017,182,0,82,80,7,10,6.99,26.04,boston,No,Yes
BOSTON COMMUNITY LEADERSHIP ACADEMY,Massachusetts,2502790,2013,521,433,247,198,20,41,47.1,11.06,boston,No,Yes
BOSTON COMMUNITY LEADERSHIP ACADEMY,Massachusetts,2502790,2014,525,372,258,193,21,41,52.1,10.08,boston,No,Yes
BOSTON COMMUNITY LEADERSHIP ACADEMY,Massachusetts,2502790,2015,506,0,246,186,25,35,48.72,10.39,boston,No,Yes
BOSTON COMMUNITY LEADERSHIP ACADEMY,Massachusetts,2502790,2016,500,0,256,180,24,29,36.76,13.6,boston,No,Yes
BOSTON COMMUNITY LEADERSHIP ACADEMY,Massachusetts,2502790,2017,474,0,250,165,25,24,38.6,12.28,boston,No,Yes
BOSTON INTERNATIONAL HIGH SCHOOL,Massachusetts,2502790,2013,345,264,163,161,8,7,35.75,9.65,boston,No,Yes
BOSTON INTERNATIONAL HIGH SCHOOL,Massachusetts,2502790,2014,381,244,193,164,14,5,43.13,8.83,boston,No,Yes
BOSTON INTERNATIONAL HIGH SCHOOL,Massachusetts,2502790,2015,375,0,174,175,14,6,41.69,8.99,boston,No,Yes
BOSTON INTERNATIONAL HIGH SCHOOL,Massachusetts,2502790,2016,378,0,172,179,13,7,45.09,8.38,boston,No,Yes
BOSTON INTERNATIONAL HIGH SCHOOL,Massachusetts,2502790,2017,366,0,177,159,15,9,49.46,7.4,boston,No,Yes
BOSTON LATIN,Massachusetts,2502790,2013,2379,676,251,226,691,1134,117.73,20.21,boston,No,Yes
BOSTON LATIN,Massachusetts,2502790,2014,2439,628,288,221,690,1158,119,20.5,boston,No,Yes
BOSTON LATIN,Massachusetts,2502790,2015,2439,0,282,207,707,1157,113.22,21.54,boston,No,Yes
